Player,College,Position,Pos Order,ID,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
Wayne Gallman,Clemson,RB,1,RB10,5.51,72,32.625,215,9.125,4.6,21,29.5,120,7.17,4.28,
Tarik Cohen,North Carolina A&T,,RB,1,RB03,5.49,66,29.75,179,10.125,4.42,11,31.5,118,,
Corey Clement,Wisconsin,RB,1,RB02,5.43,70,30.5,220,9.75,4.68,19,28.5,115,,,
James Conner,Pittsburgh,RB,1,RB04,5.4,73,31.25,233,9.875,4.65,20,29,113,,,
Matt Dayes,NC State,RB,1,RB07,5.38,69,30,205,10.5,,18,28,109,,,
Joe Williams,Utah,RB,1,RB32,5.35,71,30.75,210,9.375,4.41,14,35,125,7.19,4.19,
Donnel Pumphrey,San Diego State,RB,1,RB24,5.33,68,29,176,8.5,4.48,5,33.5,117,,,
T.J. Logan,North Carolina,RB,1,RB17,5.3,69,32,196,9,4.37,17,33.5,121,,,
Devine Redding,Indiana,RB,1,RB25,5.25,68,29.25,205,9.625,4.76,16,30.5,116,7.18,4.46,12.03
Elijah McGuire,Louisiana,RB,1,RB20,5.23,70,31,214,9,4.53,15,36,120,7.26,4.56,11.78
Christopher Carson,Oklahoma State,RB,1,RB01,5.22,72,33.25,218,9.625,4.58,23,37,130,,,
Dare Ogunbowale,Wisconsin,RB,1,RB22,5.2,71,31.375,213,9.125,4.65,14,35,120,6.99,4.34,
Sam Rogers,Virginia Tech,FB,1,RB26,5.18,70,30.25,231,9.75,4.93,19,32,114,7.27,4.34,11.84
Elijah Hood,North Carolina,RB,1,RB13,5.14,71,30.375,232,9.375,,18,,,,,
Jamaal Williams,BYU,RB,1,RB31,5.13,72,31.25,212,10,4.59,,30,123,7.25,4.53,
De'Angelo Henderson,Coastal Carolina,RB,1,RB11,5.12,67,29,208,9.5,4.48,20,34,120,,,
Justin Davis,USC,RB,1,RB06,5.08,73,31,208,9.625,,21,,,,,
Freddie Stevenson,Florida State,FB,1,RB29,5.05,72,32.75,234,9.625,4.75,24,28,111,7.65,4.45,
Jahad Thomas,Temple,RB,1,RB30,5.05,70,30.125,190,9,4.62,11,32,116,,,
Stanley Williams,Kentucky,RB,1,RB33,4.99,67,30,190,8.625,4.51,18,36,121,6.86,4.18,
De'Veon Smith,Michigan,RB,1,RB28,4.9,71,29.5,223,9,,22,29,108,7.3,4.56,11.75
Brian Hill,Wyoming,RB,1,RB12,,73,31.375,219,8.875,4.54,15,34,125,7.03,4.32,11.29
Aaron Jones,UTEP,RB,1,RB15,,69,32.5,208,9.5,4.56,16,37.5,127,6.82,4.2,11.53
Rushel Shell,West Virginia,RB,1,RB27,,70,30,227,9.625,4.74,21,32.5,,,,
Mike Williams,Clemson,WR,2,WO57,6.32,76,33.375,218,9.375,,15,32.5,121,,,
Corey Davis,Western Michigan,WR,2,WO11,6.23,75,33,209,9.125,,,,,,,
John Ross,Washington,WR,2,WO42,6.19,71,31.5,188,8.75,4.22,,37,133,,,
JuJu Smith-Schuster,USC,WR,2,WO47,5.85,73,32.875,215,10.5,4.54,15,32.5,120,,,
Chad Hansen,California,WR,2,WO20,5.84,74,32.125,202,10.125,4.53,11,35,119,6.74,4.13,
Cooper Kupp,Eastern Washington,WR,2,WO27,5.81,74,31.5,204,9.5,4.62,,31,116,6.75,4.08,
Dede Westbrook,Oklahoma,WR,2,WO55,5.77,72,30.625,178,9,,,,,,,
Isaiah Ford,Virginia Tech,WR,2,WO16,5.74,73,32.625,194,9.25,4.61,14,35.5,127,6.94,4.34,
Curtis Samuel,Ohio State,WR,2,WO44,5.73,71,31.25,196,9.5,4.31,18,37,119,7.09,4.33,
Shelton Gibson,West Virginia,WR,2,WO17,5.72,71,32,191,8.875,4.5,8,32,118,6.83,4.2,10.71
Josh Reynolds,Texas A&M,WR,2,WO38,5.71,75,31.5,194,9.375,4.52,,37,124,6.83,4.13,11.32
Travin Dural,LSU,WR,2,WO14,5.67,73,32,202,9,4.57,,30.5,116,7.29,4.55,12.21
Taywan Taylor,Western Kentucky,WR,2,WO51,5.66,71,32.625,203,9.25,4.5,13,33.5,132,6.57,4.21,11.23
Amara Darboh,Michigan,WR,2,WO10,5.56,74,32.625,214,9.875,4.45,17,36,124,,,
Zay Jones,East Carolina,WR,2,WO26,5.55,74,32.5,201,9,4.45,15,36.5,133,6.79,4.01,11.17
Mack Hollins,North Carolina,WR,2,WO24,5.51,76,33.25,221,9.75,4.53,,,,,,
Travis Rudolph,Florida State,WR,2,WO43,5.51,72,31.875,189,9.25,4.65,12,31.5,114,6.93,4.46,
Noah Brown,Ohio State,WR,2,WO05,5.5,74,31.75,222,9.125,,19,,,7.07,4.33,
Jalen Robinette,Air Force,WR,2,WO39,5.5,75,32.375,220,10.875,4.62,13,31.5,120,6.77,4.46,11.68
Carlos Henderson,Louisiana Tech,WR,2,WO22,5.49,71,31.375,199,9.125,4.46,13,36,131,7.18,4.35,11.79
Artavis Scott,Clemson,WR,2,WO45,5.47,70,31,193,9.375,4.61,13,31,116,7.19,4.49,12.06
Jehu Chesson,Michigan,WR,2,WO08,5.46,75,33.25,204,9.125,4.47,10,35.5,132,6.7,4.09,
Kenny Golladay,Northern Illinois,WR,2,WO19,5.45,76,32,218,9.75,4.5,18,35.5,120,7,4.15,
Rodney Adams,USF,WR,2,WO01,5.41,73,32,189,9,4.44,8,29.5,125,6.98,4.28,11.39
Malachi Dupre,LSU,WR,2,WO13,5.39,74,31.5,196,9,4.52,11,39.5,135,7.19,4.26,11.88
Keon Hatcher,Arkansas,WR,2,WO21,5.38,73,32,212,9.5,4.64,16,,,,,
Stacy Coley,Miami,WR,2,WO09,5.35,72,32.25,195,9.75,4.45,10,34,122,,,
Jamari Staples,Louisville,WR,2,WO48,5.33,75,33.5,195,9.5,4.51,,36,130,,,
Amba Etta-Tawo,Syracuse,WR,2,WO15,5.32,73,32,208,9.125,4.49,14,31,126,6.95,4.32,
KD Cannon,Baylor,WR,2,WO07,5.3,71,30.75,182,8.875,4.41,13,37,119,,,
Kendrick Bourne,Eastern Washington,WR,2,WO04,5.27,73,32.5,203,9.125,4.68,9,34,125,6.73,4.21,
Drew Morgan,Arkansas,WR,2,WO33,5.25,72,30.375,190,9.5,4.74,10,30,112,6.85,4.12,11.19
Ryan Switzer,North Carolina,WR,2,WO50,5.23,68,28,181,9.25,4.51,11,32,116,6.77,4,11.14
Quincy Adeboyejo,Ole Miss,WR,2,WO02,5.22,75,31.75,197,9.375,4.42,8,34.5,123,6.73,4.14,
Darreus Rogers,USC,WR,2,WO40,5.22,73,32,216,10.125,,8,26.5,112,7.22,4.54,
Isaiah McKenzie,Georgia,WR,2,WO32,5.2,67,28.875,173,8.875,4.42,11,36,123,6.64,4.15,
Gabe Marks,Washington State,WR,2,WO31,5.18,71,30.375,189,8.75,4.56,11,29.5,117,7.01,4.2,
Trent Taylor,Louisiana Tech,WR,2,WO52,5.18,68,28.75,181,8.25,4.63,13,33,117,6.74,4.01,11.14
Noel Thomas,Connecticut,WR,2,WO53,5.12,72,30,205,8.75,4.63,9,32.5,118,,,
Bobo Wilson,Florida State,WR,2,WO58,5.07,69,31.375,189,9.375,4.57,10,,119,,4.57,
Krishawn Hogan,Marian,WR,2,WO23,5,75,32.125,222,9.875,4.56,13,36.5,124,6.74,4.21,
James Quick,Louisville,WR,2,WO36,5,72,30.75,186,9,4.6,11,31,115,7,4.39,
Keevan Lucas,Tulsa,WR,2,WO29,4.97,69,31.875,192,9.875,4.55,11,32.5,119,7.23,4.43,12
Speedy Noil,Texas A&M,WR,2,WO34,4.96,71,30,199,9.25,,18,43.5,133,,,
Michael Rector,Stanford,WR,2,WO37,4.96,72,32.5,193,9.25,4.42,,36.5,129,6.77,4.19,11.31
Billy Brown,Shepherd,WR,2,WO06,4.95,76,33,255,10.375,4.7,23,29,118,,,
Fred Ross,Mississippi State,WR,2,WO41,4.94,73,31.25,213,9.25,4.51,10,35,113,6.99,4.28,
Kermit Whitfield,Florida State,WR,2,WO56,4.94,68,30,185,8.5,4.44,8,32.5,120,7.17,4.37,
Zach Pascal,Old Dominion,WR,2,WO35,4.93,74,32,219,10,4.55,14,36,126,7.11,4.29,
"Greg Ward, Jr.",Houston,WR,2,WO54,4.93,71,31.125,186,9.875,,10,,,,,
Jerome Lane,Akron,WR,2,WO28,4.92,74,31.5,226,9.75,4.6,16,35,125,6.87,4.12,
Bug Howard,North Carolina,WR,2,WO25,4.9,76,33.125,221,10.375,4.58,,37.5,119,6.95,4.14,11.75
"Victor Bolden, Jr.",Oregon State,WR,2,WO03,,68,31.125,178,9,4.54,9,32,117,6.83,4.22,11.21
Robert Davis,Georgia State,WR,2,WO12,,75,33,219,9.625,4.44,19,41,136,6.82,4.28,11.48
Chris Godwin,Penn State,WR,2,WO18,,73,31.625,209,9.125,4.42,19,36,126,7.01,4,11.21
Josh Malone,Tennessee,WR,2,WO30,,75,31.375,208,9.625,4.4,10,30.5,121,7.05,4.19,11.77
Ricky Seals-Jones,Texas A&M,WR,2,WO46,,77,33.125,243,9.625,4.69,17,28,121,7.46,4.33,11.85
ArDarius Stewart,Alabama,WR,2,WO49,,71,32.5,204,9.375,4.49,,34,124,,,
O.J. Howard,Alabama,TE,3,TE09,6.51,78,33.75,251,10,4.51,22,30,121,6.85,4.16,11.46
David Njoku,Miami,TE,3,TE12,6.4,76,35.25,246,10,4.64,21,37.5,133,6.97,4.34,
Gerald Everett,South Alabama,TE,3,TE06,6,75,33,239,8.5,4.62,22,37.5,126,6.99,4.33,
Bucky Hodges,Virginia Tech,TE,3,TE08,5.93,78,32.5,257,10.125,4.57,18,39,134,,4.45,12.08
Evan Engram,Ole Miss,TE,3,TE05,5.82,75,33.5,234,10,4.42,19,36,125,6.92,4.23,
Jake Butt,Michigan,TE,3,TE02,5.81,77,32,246,10,,,,,,,
Adam Shaheen,Ashland,TE,3,TE17,5.75,78,33.5,278,9.625,4.79,24,32.5,121,7.09,4.38,12.38
Jeremy Sprinkle,Arkansas,TE,3,TE19,5.7,77,34.5,252,10.75,4.69,,29,116,,,
Jordan Leggett,Clemson,TE,3,TE11,5.58,77,33.5,258,10.375,,18,33,114,7.12,4.33,12.06
Jonnu Smith,FIU,TE,3,TE18,5.46,75,32.875,248,9.25,4.62,22,38,127,,4.18,11.57
Michael Roberts,Toledo,TE,3,TE15,5.45,76,33,270,11.5,4.86,,30,110,7.05,4.51,
George Kittle,Iowa,TE,3,TE10,5.38,76,33.125,247,9.25,4.52,18,35,132,,,
Eric Saubert,Drake,TE,3,TE16,5.37,77,33.5,253,10.375,,22,33,121,,,
Hayden Plinke,UTEP,TE,3,TE14,5.34,76,32.5,264,10,4.97,18,28,109,7.55,4.59,12.41
Cole Hikutini,Louisville,TE,3,TE07,5.3,76,32.75,247,10,,20,,,,,
Darrell Daniels,Washington,TE,3,TE04,5.19,75,34.5,247,10.25,4.55,17,32,116,7.09,4.47,
Scott Orndoff,Pittsburgh,TE,3,TE13,5.14,77,33.25,253,10,4.84,17,27,112,7.37,4.45,12.34
Pharaoh Brown,Oregon,TE,3,TE01,4.96,78,35.625,255,10.375,,24,34,,,,
Cethan Carter,Nebraska,TE,3,TE03,4.9,75,32.375,241,9,4.68,19,,,,,
Ryan Ramczyk,Wisconsin,OT,4,OL36,6.2,78,33.75,310,10.875,,25,,,,,
Cam Robinson,Alabama,OT,4,OL37,6.16,78,35.5,322,10.5,5.15,,26,106,7.81,4.82,
Forrest Lamp,Western Kentucky,OG,4,OL26,6.11,76,32.25,309,10.625,5,34,27.5,111,7.55,4.62,
Garett Bolles,Utah,OT,4,OL05,6.1,77,34,297,9.375,4.95,,28,115,7.29,4.55,
Pat Elflein,Ohio State,C,4,OL15,5.85,75,33.25,303,9.75,5.32,22,23.5,99,7.94,4.71,
Dorian Johnson,Pittsburgh,OG,4,OL24,5.83,77,35.25,300,10.875,5.27,21,30,114,8.39,5.09,
Dan Feeney,Indiana,OG,4,OL17,5.79,76,33.375,305,10.25,5.24,26,28,101,7.52,4.68,
Antonio Garcia,Troy,OT,4,OL19,5.75,78,33.375,302,9.875,5.15,24,31,108,7.98,4.94,
Zach Banner,USC,OT,4,OL03,5.72,80,34.875,353,10.75,5.58,22,23.5,92,8.31,5.21,
Dion Dawkins,Temple,OG,4,OL12,5.71,76,35,314,9.875,5.11,26,26,106,7.3,4.78,
Ethan Pocic,LSU,C,4,OL35,5.7,78,33.125,310,10.125,5.15,26,27,107,7.89,4.81,
Taylor Moton,Western Michigan,OG,4,OL33,5.68,77,34.125,319,10.625,5.18,23,30.5,109,7.73,4.58,
Roderick Johnson,Florida State,OT,4,OL25,5.62,79,36,298,10.75,,,,,,,
Nico Siragusa,San Diego State,OG,4,OL41,5.54,76,33.5,319,10.625,5.35,28,32,110,7.71,4.56,
Will Holden,Vanderbilt,OT,4,OL22,5.53,79,33.25,311,10.125,5.47,23,28,111,7.71,4.72,
Isaac Asiata,Utah,OG,4,OL01,5.51,75,33.75,323,10.375,5.34,35,25.5,102,7.83,4.93,
Collin Buchanan,Miami (OH),OL,4,OL08,5.51,77,32.375,316,10.5,,23,25,97,,,
Adam Bisnowaty,Pittsburgh,OT,4,OL04,5.5,78,33.875,304,11.375,5.23,23,29.5,96,8.02,4.94,
Damien Mama,USC,G,4,OL30,5.49,75,35,334,11,5.84,,24.5,96,8.51,5.38,
David Sharpe,Florida,OT,4,OL40,5.49,78,35.375,343,10,5.44,19,20.5,97,7.87,4.78,
Jermaine Eluemunor,Texas A&M,OL,4,OL16,5.46,76,33.25,332,9.5,5.22,34,,,,,
Chad Wheeler,USC,C,4,OL47,5.46,79,33.125,306,9.5,5.48,15,20.5,105,,5.01,
Chase Roullier,Wyoming,C,4,OL38,5.42,76,32.25,312,9.5,5.54,19,26.5,97,7.6,4.47,
Aviante Collins,TCU,OT,4,OL09,5.39,76,33.375,295,9.375,4.81,34,,,,,
Avery Gennesy,Texas A&M,OT,4,OL20,5.39,75,33.625,318,9.5,5.35,24,20,91,8.08,5,
Jordan Morgan,Kutztown,G,4,OL32,5.39,75,34.625,309,10,5.36,21,27,102,8.13,4.73,
Tyler Orlosky,West Virginia,C,4,OL34,5.38,75,32.25,298,9.75,,24,,,,,
Jon Toth,Kentucky,C,4,OL45,5.35,77,33.625,307,10,5.51,21,25.5,100,8.09,4.84,
Kyle Fuller,Baylor,C,4,OL18,5.31,77,34.125,307,10.25,5.24,23,26,96,7.71,4.84,
Danny Isidora,Miami,G,4,OL23,5.3,75,33,306,9.875,5.03,26,29,94,8.13,4.9,
Jessamen Dunker,Tennessee State,G,4,OL14,5.28,76,33.5,318,10,4.98,23,28.5,108,,,
Cameron Lee,Illinois State,OG,4,OL28,5.28,77,33.875,312,10.875,5.44,18,25.5,100,8.02,4.75,
Julie'n Davenport,Bucknell,OT,4,OL11,5.26,79,36.5,318,10.5,5.45,18,27,106,7.57,4.69,
Justin Senior,Mississippi State,OT,4,OL39,5.21,77,34,331,10.25,5.55,,23,98,8.19,5.06,
Erik Austell,Charleston Southern,OT,4,OL02,5.2,75,32,301,9,5.23,24,27.5,107,8.13,4.9,
J.J. Dielman,Utah,C,4,OL13,5.2,77,32.25,309,10,,27,,,,,
Ethan Cooper,Indiana (PA),OL,4,OL10,5.19,74,32.625,322,10.375,5.36,26,24.5,99,8.02,4.88,
Jerry Ugokwe,William & Mary,OT,4,OL46,5.18,79,35.375,321,10.375,5.61,18,26,103,8.35,5.17,
Corey Levin,Chattanooga,OL,4,OL29,5.15,76,33.5,307,10.875,5.16,26,26.5,106,7.55,4.73,
Sean Harlow,Oregon State,OG,4,OL21,5.14,76,32,303,9.5,5.15,26,30.5,105,8.16,4.81,
Dan Skipper,Arkansas,OT,4,OL42,5.1,82,33.375,309,10.5,5.42,,26,97,7.61,5.01,
Conor McDermott,UCLA,OT,4,OL31,5.07,80,34.75,307,11,5.18,,28.5,105,7.52,4.58,
Daniel Brunskill,San Diego State,OT,4,OL07,4.97,77,33.875,273,9.875,,17,28,106,7.9,4.84,
Javarius Leamon,South Carolina State,OL,4,OL27,4.9,79,35.25,332,9.625,,22,23.5,,,,
Sam Tevi,Utah,OT,4,OL43,4.9,77,34,311,10.125,5.27,15,26,107,7.84,4.6,
Nate Theaker,Wayne State (MI),OG,4,OL44,4.9,77,32.625,315,9.625,5.41,23,27,105,7.97,4.89,
Ben Braden,Michigan,OG,4,OL06,4.88,78,34,329,9.875,5.04,25,28,102,7.85,4.9,
Myles Garrett,Texas A&M,DE,5,DL15,7.63,76,35.25,272,10.25,4.64,33,41,128,,,
Solomon Thomas,Stanford,DE,5,DL48,6.85,75,33,273,9.375,4.69,30,35,126,6.95,4.28,
Jonathan Allen,Alabama,DE,5,DL02,6.81,75,33.625,286,9.375,5,21,30,108,7.49,4.5,
Taco Charlton,Michigan,DE,5,DL09,6.58,78,34.25,277,9.75,4.92,25,33,116,7.17,4.39,
Malik McDowell,Michigan State,DT,5,DL30,6.56,78,34.75,295,10.5,4.85,23,28.5,112,7.69,4.53,
Caleb Brantley,Florida,DT,5,DL06,6.31,75,32,307,9.75,5.14,21,27,105,7.66,4.62,
Haason Reddick,Temple,DE,5,DL40,6.25,73,32.75,237,10.125,4.52,24,36.5,133,7.01,4.37,
Tim Williams,Alabama,DE,5,DL56,6.24,75,32.75,244,9.25,4.68,,33.5,124,7.36,4.57,
Derek Barnett,Tennessee,DE,5,DL03,6.21,75,32.125,259,10,4.88,,31,117,6.96,4.44,
Takkarist McKinley,UCLA,DE,5,DL31,6.1,74,34.75,250,9.75,4.59,24,33,122,7.48,4.62,
Charles Harris,Missouri,DE,5,DL19,6,75,32.375,253,9.625,4.82,21,32,109,7.47,4.42,12.48
Larry Ogunjobi,Charlotte,DT,5,DL36,5.79,75,32.625,305,10,4.97,26,32,116,7.55,4.75,
Jarron Jones,Notre Dame,DT,5,DL24,5.77,78,35.5,316,10.5,5.33,22,20.5,,,,
Carl Lawson,Auburn,DE,5,DL28,5.75,74,31.5,261,10.375,4.67,35,33,114,7.46,4.19,
D.J. Jones,Ole Miss,DT,5,DL23,5.73,73,32.5,319,10.25,5.04,25,28.5,108,7.73,4.65,
Chris Wormley,Michigan,DE,5,DL59,5.7,77,34.125,298,10.5,,23,,,,,
Jaleel Johnson,Iowa,DT,5,DL22,5.67,75,33.25,316,9.625,5.38,19,28,100,7.64,4.62,
Dalvin Tomlinson,Alabama,DT,5,DL49,5.64,75,33.5,310,10.125,5.19,,27,110,7.68,4.59,
Demarcus Walker,Florida State,DE,5,DL54,5.64,76,33,280,10.5,,18,,,,,
Eddie Vanderdoes,UCLA,DT,5,DL52,5.63,75,33.125,305,10.625,4.99,28,28.5,111,7.69,4.39,
Jordan Willis,Kansas State,DE,5,DL57,5.62,76,33.5,255,9.875,4.53,24,39,125,6.85,4.28,
Montravius Adams,Auburn,DT,5,DL01,5.61,76,32.75,304,9.25,4.87,22,29,108,7.62,4.89,
Elijah Qualls,Washington,DT,5,DL39,5.6,73,30.625,313,9.375,5.13,33,31.5,105,7.65,4.66,
Tanoh Kpassagnon,Villanova,DE,5,DL26,5.59,79,35.625,289,10.625,4.83,23,30,128,7.46,4.62,
Tarell Basham,Ohio,DE,5,DL04,5.57,76,34.25,269,10.25,4.7,15,31.5,119,7.27,4.35,
Daeshon Hall,Texas A&M,DE,5,DL18,5.57,77,35,266,9.625,4.76,18,36,123,7.03,4.38,
Nazair Jones,North Carolina,DT,5,DL25,5.57,77,34.625,304,10.875,5.11,,24.5,101,7.93,4.63,
Carlos Watkins,Clemson,DT,5,DL55,5.57,75,34.625,309,10.375,,25,,,,,
Charles Walker,Oklahoma,DT,5,DL53,5.56,74,33.75,310,9.625,4.96,25,28,107,7.89,4.96,
Avery Moss,Youngstown State,DE,5,DL32,5.53,75,34.5,264,10.375,4.79,14,32.5,114,7.25,4.43,
Noble Nwachukwu,West Virginia,DE,5,DL34,5.51,73,33.125,268,9,4.83,27,30.5,110,,,
Stevie Tu'ikolovatu,USC,NT,5,DL50,5.5,73,33,331,10.25,5.45,28,24.5,91,7.83,5,
Ejuan Price,Pittsburgh,DE,5,DL38,5.49,71,32.75,241,10,4.84,20,31.5,117,,4.34,
Dawuane Smoot,Illinois,DE,5,DL45,5.49,75,33.25,264,9.25,4.77,,29.5,117,7.18,4.39,
Tanzel Smart,Tulane,DT,5,DL44,5.48,73,32.875,296,9.625,5.24,22,27,105,7.53,4.57,
Ryan Glasgow,Michigan,DT,5,DL16,5.46,75,33.375,302,9.625,5.13,20,27.5,105,7.55,4.5,
Deatrich Wise,Arkansas,DE,5,DL58,5.46,77,35.625,274,10.5,4.92,22,33,125,7.07,4.36,
Davon Godchaux,LSU,DT,5,DL17,5.41,75,32.375,310,10.25,5.27,18,,,,,
Derek Rivers,Youngstown State,DE,5,DL41,5.41,76,32.75,248,9.375,4.61,30,35,123,6.94,4.4,12.43
Carroll Phillips,Illinois,DE,5,DL37,5.4,75,33,242,9.75,4.64,23,30,123,7.06,4.37,
Isaac Rochell,Notre Dame,DT,5,DL42,5.4,76,32.75,280,9.75,4.89,25,31.5,114,,,
Bryan Cox Jr.,Florida,DE,5,DL11,5.39,75,33.75,265,9.5,4.89,16,26.5,109,7.36,4.46,
Dylan Donahue,West Georgia,DL,5,DL13,5.39,75,30.25,248,9,4.75,26,29.5,116,7.02,4.46,
Josh Carraway,TCU,DE,5,DL08,5.37,75,34.25,242,9.25,4.74,25,29.5,120,7.2,4.44,11.71
Ifeadi Odenigbo,Northwestern,DL,5,DL35,5.36,75,32.625,258,10.5,4.72,25,31.5,128,7.26,4.4,
Vincent Taylor,Oklahoma State,DT,5,DL47,5.35,75,34.375,304,10.125,5.07,26,28.5,108,7.58,4.72,
Tashawn Bower,LSU,DE,5,DL05,5.29,77,33.375,250,9.875,4.82,20,31.5,121,7.2,4.37,11.77
Trey Hendrickson,FAU,DE,5,DL20,5.29,76,32,266,9.875,4.65,,33.5,122,7.03,4.2,11.43
Garrett Sickels,Penn State,DE,5,DL43,5.25,75,32.125,261,9.5,4.9,20,28,105,7.21,4.41,
Al-Quadin Muhammad,Miami,DE,5,DL33,5.22,75,33.25,253,9.375,4.88,22,30.5,117,7.25,4.47,12.14
Treyvon Hester,Toledo,DT,5,DL21,5.18,74,32,300,9.75,,,,,,,
Harvey Langi,BYU,DE,5,DL27,5.13,74,32.875,251,9.125,,23,33,118,7,4.32,11.83
Fadol Brown,Ole Miss,DE,5,DL07,5.12,76,35,273,10.25,4.94,19,34,115,7.24,4.44,
Pita Taumoepenu,Utah,DL,5,DL46,5.1,73,32.375,243,9.875,4.67,24,28.5,112,6.91,4.33,
Ken Ekanem,Virginia Tech,DL,5,DL14,5.05,75,32,257,10.5,4.88,,30.5,115,7.38,4.58,12.3
Chunky Clements,Illinois,DT,5,DL10,5,74,32.875,301,10.375,,23,,,,,
Keionta Davis,Chattanooga,DE,5,DL12,5,75,34,271,9.5,,,,,,,
Jeremiah Ledbetter,Arkansas,DE,5,DL29,5,75,34.25,280,10,4.84,29,32.5,113,7.55,4.56,
Reuben Foster,Alabama,LB,6,LB15,6.43,72,32.375,229,10.25,,,,,,,
Jabrill Peppers,Michigan,LB,6,LB24,6.14,71,30.75,213,9.625,4.46,19,35.5,128,,,
Zach Cunningham,Vanderbilt,LB,6,LB10,5.94,75,34.375,234,9.25,4.67,15,35,125,7.03,4.29,
Jarrad Davis,Florida,LB,6,LB11,5.91,73,33.5,238,9.75,,,,,,,
Ryan Anderson,Alabama,OLB,6,LB01,5.89,74,31.5,253,9.375,4.78,,,,,,
T.J. Watt,Wisconsin,LB,6,LB29,5.88,76,33.125,252,11,4.69,21,37,128,6.79,4.13,11.2
Alex Anzalone,Florida,LB,6,LB02,5.74,75,32.125,241,9.125,4.63,16,30.5,116,6.88,4.25,11.71
Kendell Beckwith,LSU,ILB,6,LB03,5.62,74,33,243,9.5,,20,,,,,
Tyus Bowser,Houston,LB,6,LB06,5.62,75,33.25,247,10.125,4.65,21,37.5,127,6.75,,
Raekwon McMillan,Ohio State,LB,6,LB21,5.55,74,33,240,9.75,4.61,23,33,121,7.15,4.39,11.84
Anthony Walker Jr.,Northwestern,LB,6,LB28,5.53,73,30.375,238,9.5,4.65,23,30.5,116,7.23,4.34,
Devonte' Fields,Louisville,OLB,6,LB14,5.52,74,32.375,236,9,4.72,,34,124,7.4,4.5,
Blair Brown,Ohio,LB,6,LB07,5.48,71,31.25,238,9.375,4.65,,37,124,6.92,4.18,
Duke Riley,LSU,OLB,6,LB26,5.43,72,32,232,9.25,4.58,18,34.5,122,6.89,4.21,
Connor Harris,Lindenwood,ILB,6,LB17,5.41,71,30.125,242,9.375,4.73,18,33,114,7.13,4.31,11.84
Matt Milano,Boston College,OLB,6,LB22,5.37,72,32,223,9.375,4.67,24,35,126,,,
